session_id,timestamp,machine_id,operator_id,task_type,operator_skill,operator_experience_yrs,machine_age_yrs,engine_hours,weather,ground_condition,temperature_c,fuel_used_l,load_cycles,avg_payload_kg,idle_time_min,operating_time_min,seatbelt_status,proximity_min_m,people_in_zone,estimated_time_min,actual_time_min,safety_risk_score,safety_alert_triggered,anomaly_flag,anomaly_type
S000014,2026-06-25T20:10:34,WL001,OP1036,Material Loading,Beginner,0,7,5493.1,Cloudy,Rocky,35.6,13.77,79,3035.5,28.18,46.04,Fastened,4.05,1,30.0,46.04,68.6,False,False,
S000015,2026-06-25T20:14:23,WL004,OP1049,Material Loading,Beginner,0,2,1563.6,Sunny,Loose,33.1,11.79,67,4118.5,40.94,42.35,Fastened,8.32,0,30.0,42.35,10.4,False,False,
S000016,2026-06-25T20:17:13,MG002,OP1012,Grading,Intermediate,3,5,3986.9,Rainy,Loose,23.5,11.28,39,503.4,44.23,50.93,Fastened,27.89,0,35.0,50.93,10.9,False,False,
S000017,2026-06-25T20:22:57,EXC004,OP1037,Earth Excavation,Beginner,1,5,3789.5,Sunny,Firm,30.8,22.5,211,1289.3,42.03,66.74,Unfastened,47.82,0,60.0,66.74,37.2,False,False,
S000018,2026-06-25T20:35:19,EXC009,OP1020,Earth Excavation,Intermediate,5,3,2243.1,Rainy,Wet,23.6,23.26,74,1721.6,22.61,82.57,Fastened,22.11,0,60.0,82.57,20.3,False,True,abnormal_cycle_time
S000019,2026-06-25T20:38:04,DZ002,OP1004,Grading,Expert,8,6,5181.2,Sunny,Wet,39.0,8.13,26,2939.2,26.29,36.05,Fastened,8.44,0,35.0,36.05,9.9,False,False,
S000020,2026-06-25T20:41:43,EXC001,OP1048,Trenching,Beginner,2,2,1530.0,Rainy,Loose,26.3,19.1,168,1214.8,29.87,69.38,Fastened,47.05,0,45.0,69.38,19.4,False,False,
S000021,2026-06-25T21:12:08,MG001,OP1024,Grading,Intermediate,2,5,4011.4,Rainy,Firm,26.0,12.16,27,776.0,31.73,48.24,Fastened,9.34,0,35.0,48.24,24.5,False,False,
S000022,2026-06-25T21:16:13,MG001,OP1022,Grading,Beginner,1,5,4011.4,Windy,Loose,29.5,12.31,29,884.8,36.12,50.41,Fastened,38.89,0,35.0,50.41,8.1,False,False,
S000023,2026-06-25T21:20:09,EXC001,OP1011,Trenching,Expert,14,2,1530.0,Cloudy,Firm,33.9,11.24,104,1271.7,18.14,39.85,Fastened,34.06,0,45.0,39.85,7.7,False,False,
S000024,2026-06-25T21:30:46,DZ001,OP1021,Grading,Intermediate,5,10,6972.1,Sunny,Loose,34.9,10.45,28,2133.0,17.84,42.42,Fastened,48.63,0,35.0,42.42,15.3,False,False,
S000025,2026-06-25T21:32:48,DZ001,OP1031,Earth Excavation,Beginner,1,10,6972.1,Rainy,Loose,26.1,35.65,366,2406.8,43.8,102.05,Fastened,3.13,1,60.0,102.05,80.3,True,False,
S000026,2026-06-25T21:54:30,EXC010,OP1008,Demolition,Expert,13,5,3604.5,Foggy,Rocky,23.7,49.95,249,1200.5,68.02,121.81,Fastened,2.83,1,90.0,121.81,87.9,True,False,
S000027,2026-06-25T22:10:35,DZ002,OP1040,Grading,Intermediate,2,6,5181.2,Cloudy,Wet,33.4,12.69,30,2719.8,22.1,49.02,Fastened,38.16,0,35.0,49.02,15.4,False,False,
S000028,2026-06-25T22:22:09,MG001,OP1043,Grading,Beginner,1,5,4011.4,Windy,Rocky,26.6,15.44,35,750.0,34.42,59.22,Fastened,42.45,0,35.0,59.22,8.1,False,False,
S000029,2026-06-25T22:23:36,DZ002,OP1032,Earth Excavation,Expert,11,6,5181.2,Sunny,Loose,32.7,17.79,152,2335.3,17.18,53.5,Fastened,9.54,0,60.0,53.5,6.8,False,False,
S000030,2026-06-25T22:27:07,MG001,OP1022,Grading,Beginner,1,5,4011.4,Windy,Loose,28.6,11.03,30,658.2,22.37,47.85,Unfastened,8.19,0,35.0,47.85,44.9,False,False,
S000031,2026-06-25T22:35:47,WL001,OP1005,Material Loading,Expert,12,7,5493.1,Sunny,Loose,31.2,8.11,56,3711.3,15.23,32.44,Fastened,22.02,0,30.0,32.44,10.8,False,False,
S000032,2026-06-25T22:36:26,WL003,OP1025,Material Loading,Intermediate,2,5,4055.7,Foggy,Rocky,26.0,16.93,81,4233.7,21.52,51.92,Fastened,11.01,0,30.0,51.92,24.1,False,False,
S000033,2026-06-25T22:51:11,EXC006,OP1041,Earth Excavation,Beginner,0,2,1571.3,Sunny,Firm,40.3,27.73,241,1677.7,57.87,84.25,Fastened,22.27,0,60.0,84.25,11.9,False,False,
S000034,2026-06-25T23:05:04,EXC002,OP1029,Trenching,Intermediate,5,8,5866.0,Cloudy,Firm,32.2,15.87,109,1681.8,39.45,51.9,Fastened,27.85,0,45.0,51.9,8.4,False,False,
S000035,2026-06-25T23:05:44,EXC004,OP1003,Earth Excavation,Intermediate,4,5,3789.5,Sunny,Firm,41.8,22.24,209,1237.4,23.0,70.6,Fastened,2.32,1,60.0,70.6,68.1,False,False,
S000036,2026-06-25T23:06:34,WL003,OP1010,Material Loading,Intermediate,6,5,4055.7,Foggy,Wet,25.6,14.09,94,3295.4,35.12,48.39,Fastened,8.89,0,30.0,48.39,15.6,False,False,
S000037,2026-06-25T23:10:21,MG002,OP1032,Grading,Expert,11,5,3986.9,Sunny,Firm,35.1,6.54,18,730.9,11.44,28.42,Fastened,31.67,0,35.0,28.42,9.1,False,False,
S000038,2026-06-25T23:13:20,WL003,OP1026,Material Loading,Expert,12,5,4055.7,Sunny,Loose,36.7,9.82,55,3563.5,11.29,32.58,Fastened,4.86,1,30.0,32.58,68.0,False,False,
S000039,2026-06-25T23:20:27,EXC011,OP1005,Trenching,Expert,12,6,5075.0,Foggy,Wet,23.5,19.52,151,1224.6,39.2,61.73,Unfastened,12.05,0,45.0,61.73,49.8,False,False,
S000040,2026-06-25T23:24:24,EXC004,OP1025,Trenching,Intermediate,2,5,3789.5,Rainy,Wet,27.1,16.35,157,1427.3,21.12,63.55,Fastened,18.61,0,45.0,63.55,25.3,False,False,
S000041,2026-06-25T23:25:13,EXC006,OP1002,Trenching,Beginner,0,2,1571.3,Windy,Wet,28.1,19.95,157,1310.7,25.99,75.9,Unfastened,8.18,0,45.0,75.9,42.5,False,False,
S000042,2026-06-25T23:33:48,MG002,OP1004,Grading,Expert,8,5,3986.9,Sunny,Firm,41.4,6.88,20,898.1,15.5,31.25,Fastened,10.2,0,35.0,31.25,11.9,False,False,
S000043,2026-06-25T23:34:38,EXC002,OP1034,Trenching,Beginner,0,8,5866.0,Cloudy,Firm,27.3,19.78,127,1532.0,35.44,61.77,Fastened,24.71,0,45.0,61.77,6.4,False,False,
S000044,2026-06-25T23:37:38,EXC009,OP1035,Trenching,Expert,10,3,2243.1,Sunny,Firm,41.9,12.51,106,1711.4,18.95,43.77,Fastened,19.78,0,45.0,43.77,10.2,False,False,
S000045,2026-06-25T23:39:54,EXC009,OP1047,Earth Excavation,Intermediate,4,3,2243.1,Sunny,Firm,36.7,19.64,218,1555.3,23.14,72.62,Fastened,15.45,0,60.0,72.62,10.8,False,False,
S000046,2026-06-25T23:40:27,EXC006,OP1050,Demolition,Beginner,0,2,1571.3,Cloudy,Rocky,35.9,51.92,304,1416.7,110.57,149.41,Fastened,21.58,0,90.0,149.41,11.4,False,False,
S000047,2026-06-25T23:46:54,DZ001,OP1005,Grading,Expert,12,10,6972.1,Rainy,Wet,26.1,11.84,35,2398.8,15.29,50.95,Fastened,45.79,0,35.0,50.95,20.5,False,False,
S000048,2026-06-25T23:50:27,EXC001,OP1004,Earth Excavation,Expert,8,2,1530.0,Windy,Loose,26.3,18.05,165,1349.6,43.56,66.93,Fastened,19.24,0,60.0,66.93,6.3,False,False,
S000049,2026-06-25T23:53:53,EXC007,OP1038,Trenching,Intermediate,6,7,5857.0,Sunny,Firm,32.8,33.69,123,1563.0,25.59,47.19,Fastened,3.7,1,45.0,47.19,65.0,False,True,fuel_spike
S000050,2026-06-25T23:58:18,WL001,OP1027,Material Loading,Intermediate,4,7,5493.1,Windy,Firm,34.2,9.75,56,4293.6,18.85,35.19,Fastened,22.25,0,30.0,35.19,8.7,False,False,
S000051,2026-06-25T23:59:14,MG002,OP1021,Grading,Intermediate,5,5,3986.9,Sunny,Rocky,39.0,11.76,33,728.5,16.64,47.06,Fastened,28.54,0,35.0,47.06,9.8,False,False,
S000052,2026-06-26T00:01:53,EXC009,OP1047,Trenching,Intermediate,4,3,2243.1,Cloudy,Loose,27.7,16.66,154,1309.8,24.35,56.8,Fastened,21.52,0,45.0,56.8,11.0,False,False,
S000053,2026-06-26T00:02:12,WL003,OP1038,Material Loading,Intermediate,6,5,4055.7,Foggy,Wet,24.7,12.99,82,3952.8,13.07,48.21,Fastened,2.44,1,30.0,48.21,82.5,True,False,
S000054,2026-06-26T00:04:53,WL004,OP1011,Material Loading,Expert,14,2,1563.6,Sunny,Wet,30.8,7.63,55,3393.9,10.65,30.52,Unfastened,1.26,1,30.0,30.52,100.0,True,True,unsafe_operation
S000055,2026-06-26T00:04:57,DZ001,OP1033,Grading,Intermediate,3,10,6972.1,Sunny,Rocky,33.7,10.55,26,2175.7,27.2,44.49,Fastened,10.41,0,35.0,44.49,12.4,False,False,
S000056,2026-06-26T00:11:48,EXC009,OP1001,Trenching,Intermediate,4,3,2243.1,Cloudy,Firm,26.8,14.01,111,1368.6,28.12,49.62,Fastened,16.84,0,45.0,49.62,6.0,False,False,
S000057,2026-06-26T00:14:09,EXC008,OP1015,Demolition,Intermediate,2,8,5737.3,Rainy,Wet,27.1,49.12,292,1388.4,69.85,140.01,Fastened,28.96,0,90.0,140.01,24.9,False,False,
S000058,2026-06-26T00:14:47,EXC007,OP1017,Earth Excavation,Beginner,0,7,5857.0,Cloudy,Firm,33.5,28.76,272,1274.4,39.94,95.42,Fastened,16.92,0,60.0,95.42,6.0,False,False,
S000059,2026-06-26T00:26:59,EXC012,OP1038,Earth Excavation,Intermediate,6,8,6522.6,Rainy,Wet,28.9,34.96,262,1467.2,50.45,95.68,Fastened,22.52,0,60.0,95.68,20.4,False,False,
S000060,2026-06-26T00:27:00,MG002,OP1006,Grading,Intermediate,4,5,3986.9,Rainy,Loose,23.7,12.11,34,599.6,34.57,51.41,Fastened,40.1,0,35.0,51.41,21.3,False,False,
S000061,2026-06-26T00:42:58,DZ001,OP1021,Earth Excavation,Intermediate,5,10,6972.1,Rainy,Wet,23.0,39.02,323,2534.4,41.85,110.17,Fastened,27.16,0,60.0,110.17,25.0,False,False,
S000062,2026-06-26T01:10:10,DZ002,OP1017,Earth Excavation,Beginner,0,6,5181.2,Cloudy,Firm,27.1,19.88,235,2905.0,37.29,73.95,Fastened,48.1,0,60.0,73.95,6.8,False,False,
S000063,2026-06-26T01:16:22,EXC004,OP1037,Earth Excavation,Beginner,1,5,3789.5,Rainy,Loose,25.0,35.72,299,1261.1,110.76,111.95,Fastened,37.13,0,60.0,111.95,20.3,False,False,
S000064,2026-06-26T01:21:32,EXC007,OP1006,Earth Excavation,Intermediate,4,7,5857.0,Rainy,Wet,25.2,25.37,253,1511.8,41.02,86.87,Unfastened,36.48,0,60.0,86.87,53.5,False,False,
S000065,2026-06-26T01:25:56,DZ001,OP1040,Grading,Intermediate,2,10,6972.1,Sunny,Firm,41.3,12.81,31,2960.5,30.56,45.55,Fastened,34.18,0,35.0,45.55,10.8,False,False,
S000066,2026-06-26T01:30:20,MG001,OP1017,Grading,Beginner,0,5,4011.4,Foggy,Loose,25.9,15.39,42,567.4,30.45,63.11,Fastened,19.06,0,35.0,63.11,19.7,False,False,
S000067,2026-06-26T01:32:39,EXC008,OP1006,Trenching,Intermediate,4,8,5737.3,Sunny,Loose,40.7,19.01,135,1413.5,42.99,57.55,Fastened,1.32,1,45.0,57.55,66.3,False,False,
S000068,2026-06-26T01:38:32,EXC003,OP1011,Trenching,Expert,14,6,4636.1,Sunny,Firm,36.7,13.43,100,1707.2,18.07,46.11,Fastened,42.3,0,45.0,46.11,9.3,False,False,
S000069,2026-06-26T01:59:06,EXC001,OP1023,Earth Excavation,Intermediate,4,2,1530.0,Rainy,Rocky,23.5,22.86,312,1350.5,32.77,93.47,Fastened,43.11,0,60.0,93.47,24.0,False,False,
S000070,2026-06-26T02:04:36,EXC008,OP1048,Earth Excavation,Beginner,2,8,5737.3,Sunny,Firm,39.0,30.98,277,1374.2,57.69,90.53,Fastened,19.03,0,60.0,90.53,12.8,False,False,
S000071,2026-06-26T02:17:21,EXC011,OP1006,Trenching,Intermediate,4,6,5075.0,Cloudy,Firm,31.9,18.51,122,1433.9,29.4,56.12,Fastened,22.08,0,45.0,56.12,11.5,False,False,
S000072,2026-06-26T02:34:08,WL003,OP1043,Material Loading,Beginner,1,5,4055.7,Rainy,Firm,26.6,13.37,88,3948.8,28.02,47.78,Fastened,15.24,0,30.0,47.78,22.1,False,False,
S000073,2026-06-26T02:36:31,EXC001,OP1015,Earth Excavation,Intermediate,2,2,1530.0,Rainy,Rocky,22.7,25.37,246,1244.9,39.85,88.13,Fastened,20.02,0,60.0,88.13,21.6,False,False,
S000074,2026-06-26T02:36:53,WL003,OP1032,Material Loading,Expert,11,5,4055.7,Windy,Firm,34.4,8.31,48,3914.1,9.99,31.68,Fastened,25.74,0,30.0,31.68,5.0,False,False,
S000075,2026-06-26T02:44:38,EXC009,OP1047,Demolition,Intermediate,4,3,2243.1,Cloudy,Loose,33.3,34.98,273,1248.8,49.14,104.77,Fastened,38.59,0,90.0,104.77,13.2,False,False,
S000076,2026-06-26T02:58:31,EXC011,OP1034,Earth Excavation,Beginner,0,6,5075.0,Cloudy,Firm,32.7,33.62,298,1418.8,46.78,106.52,Fastened,42.19,0,60.0,106.52,10.3,False,False,
S000077,2026-06-26T03:02:50,EXC008,OP1012,Earth Excavation,Intermediate,3,8,5737.3,Windy,Firm,29.1,25.37,207,1523.6,39.77,71.62,Fastened,40.28,0,60.0,71.62,10.2,False,False,
S000078,2026-06-26T03:09:02,EXC002,OP1013,Trenching,Expert,8,8,5866.0,Rainy,Loose,26.0,17.93,152,1382.9,19.05,62.35,Fastened,1.03,1,45.0,62.35,77.1,True,False,
S000079,2026-06-26T03:10:00,EXC012,OP1039,Trenching,Intermediate,3,8,6522.6,Foggy,Firm,25.4,20.31,179,1556.5,52.7,74.44,Fastened,43.49,0,45.0,74.44,24.9,False,False,
S000080,2026-06-26T03:15:01,EXC009,OP1026,Earth Excavation,Expert,12,3,2243.1,Sunny,Rocky,34.8,22.67,204,1261.2,23.65,70.39,Fastened,22.48,0,60.0,70.39,3.2,False,False,
S000081,2026-06-26T03:25:42,DZ001,OP1050,Grading,Beginner,0,10,6972.1,Sunny,Firm,38.0,25.58,31,2155.1,33.01,44.3,Fastened,34.36,0,35.0,44.3,5.8,False,True,fuel_spike
S000082,2026-06-26T03:33:36,EXC008,OP1001,Earth Excavation,Intermediate,4,8,5737.3,Sunny,Firm,35.6,18.25,216,1279.3,27.29,63.85,Fastened,41.81,0,60.0,63.85,10.4,False,False,
S000083,2026-06-26T03:34:13,EXC008,OP1037,Earth Excavation,Beginner,1,8,5737.3,Sunny,Loose,30.4,26.71,229,1796.2,56.17,82.12,Fastened,11.95,0,60.0,82.12,10.9,False,False,
S000084,2026-06-26T03:37:44,EXC012,OP1043,Trenching,Beginner,1,8,6522.6,Windy,Rocky,33.6,21.76,177,1522.5,48.89,72.09,Fastened,3.64,1,45.0,72.09,71.0,True,False,
S000085,2026-06-26T03:46:25,EXC012,OP1012,Earth Excavation,Intermediate,3,8,6522.6,Rainy,Firm,24.5,32.39,264,1270.2,52.58,98.03,Fastened,42.25,0,60.0,98.03,23.5,False,False,
S000086,2026-06-26T03:47:54,WL002,OP1020,Material Loading,Intermediate,5,1,783.8,Sunny,Wet,40.2,9.68,72,4205.4,12.61,37.56,Unfastened,2.69,1,30.0,37.56,100.0,True,False,
S000087,2026-06-26T03:51:53,WL004,OP1013,Material Loading,Expert,8,2,1563.6,Cloudy,Firm,32.4,6.91,53,3820.0,13.19,26.96,Fastened,27.47,0,30.0,26.96,9.8,False,False,
S000088,2026-06-26T03:53:11,EXC003,OP1006,Earth Excavation,Intermediate,4,6,4636.1,Sunny,Firm,32.4,19.98,203,1542.8,27.18,66.94,Fastened,27.83,0,60.0,66.94,4.4,False,False,
S000089,2026-06-26T04:08:26,EXC007,OP1049,Trenching,Beginner,0,7,5857.0,Sunny,Loose,32.2,19.73,133,1278.9,69.76,59.51,Fastened,8.69,0,45.0,59.51,11.0,False,False,
S000090,2026-06-26T04:19:25,EXC011,OP1017,Demolition,Beginner,0,6,5075.0,Rainy,Wet,27.5,65.22,300,1778.6,98.72,171.04,Fastened,41.18,0,90.0,171.04,21.4,False,False,
S000091,2026-06-26T04:20:46,EXC007,OP1006,Earth Excavation,Intermediate,4,7,5857.0,Sunny,Loose,38.9,25.74,250,1501.4,33.96,79.76,Fastened,27.18,0,60.0,79.76,14.9,False,False,
S000092,2026-06-26T04:22:48,EXC005,OP1014,Trenching,Intermediate,5,7,6266.6,Sunny,Rocky,41.0,18.24,180,1467.7,27.98,61.52,Fastened,4.39,1,45.0,61.52,68.5,False,False,
S000093,2026-06-26T04:26:13,EXC004,OP1041,Earth Excavation,Beginner,0,5,3789.5,Cloudy,Rocky,31.5,26.34,263,1602.9,51.85,85.16,Fastened,2.21,1,60.0,85.16,69.3,False,False,
S000094,2026-06-26T04:33:18,WL002,OP1018,Material Loading,Expert,13,1,783.8,Cloudy,Wet,30.3,9.48,57,3110.8,12.66,37.48,Fastened,10.92,0,30.0,37.48,5.5,False,False,
S000095,2026-06-26T04:37:13,DZ002,OP1048,Grading,Beginner,2,6,5181.2,Rainy,Firm,25.8,14.29,40,2067.8,24.29,56.93,Fastened,10.99,0,35.0,56.93,23.6,False,False,
S000096,2026-06-26T04:37:19,DZ001,OP1039,Grading,Intermediate,3,10,6972.1,Rainy,Wet,26.5,18.33,49,2140.3,45.3,66.42,Fastened,13.44,0,35.0,66.42,24.1,False,False,
S000097,2026-06-26T04:43:30,MG002,OP1044,Grading,Expert,11,5,3986.9,Rainy,Rocky,24.6,12.78,34,864.5,15.65,49.8,Fastened,1.23,1,35.0,49.8,80.3,True,False,
S000098,2026-06-26T04:56:28,EXC001,OP1009,Trenching,Expert,9,2,1530.0,Cloudy,Rocky,33.0,14.67,121,1796.0,14.81,54.62,Fastened,22.64,0,45.0,54.62,12.3,False,False,
S000099,2026-06-26T05:07:44,DZ002,OP1017,Grading,Beginner,0,6,5181.2,Rainy,Wet,22.7,18.46,46,2495.9,30.63,67.25,Fastened,37.22,0,35.0,67.25,19.5,False,False,
S000100,2026-06-26T05:12:39,EXC005,OP1011,Earth Excavation,Expert,14,7,6266.6,Sunny,Firm,37.6,18.23,171,1317.7,20.37,56.76,Fastened,43.1,0,60.0,56.76,6.0,False,False,
S000101,2026-06-26T05:13:58,EXC012,OP1043,Trenching,Beginner,1,8,6522.6,Rainy,Wet,23.6,31.8,230,1733.3,64.47,90.07,Fastened,46.55,0,45.0,90.07,25.4,False,False,
S000102,2026-06-26T05:14:47,EXC001,OP1023,Trenching,Intermediate,4,2,1530.0,Rainy,Wet,28.1,18.64,167,1202.5,13.34,63.96,Fastened,44.63,0,45.0,63.96,25.5,False,False,
S000103,2026-06-26T05:36:39,EXC006,OP1046,Trenching,Intermediate,5,2,1571.3,Rainy,Firm,24.8,18.88,175,1416.2,31.69,70.04,Fastened,20.17,0,45.0,70.04,20.2,False,False,
S000104,2026-06-26T05:40:20,DZ002,OP1022,Earth Excavation,Beginner,1,6,5181.2,Windy,Firm,30.3,28.78,320,2963.9,49.14,83.79,Unfastened,43.28,0,60.0,83.79,35.8,False,False,
S000105,2026-06-26T05:41:19,EXC009,OP1020,Demolition,Intermediate,5,3,2243.1,Rainy,Wet,28.5,44.4,240,1612.7,127.33,118.18,Fastened,42.99,0,90.0,118.18,23.2,False,True,excessive_idling
S000106,2026-06-26T05:46:02,EXC007,OP1004,Demolition,Expert,8,7,5857.0,Rainy,Wet,26.7,40.39,230,1749.6,42.44,116.48,Fastened,28.92,0,90.0,116.48,18.8,False,False,
S000107,2026-06-26T05:47:57,EXC012,OP1008,Earth Excavation,Expert,13,8,6522.6,Sunny,Rocky,41.6,18.05,187,1349.2,21.21,63.74,Fastened,40.91,0,60.0,63.74,3.3,False,False,
S000108,2026-06-26T05:51:13,EXC005,OP1045,Earth Excavation,Beginner,2,7,6266.6,Sunny,Wet,32.5,27.35,364,1629.5,43.16,91.23,Fastened,37.38,0,60.0,91.23,9.0,False,False,
S000109,2026-06-26T06:02:30,DZ002,OP1003,Grading,Intermediate,4,6,5181.2,Cloudy,Firm,29.2,11.93,32,2270.8,16.37,48.78,Fastened,1.41,1,35.0,48.78,70.1,True,False,
S000110,2026-06-26T06:09:27,DZ001,OP1019,Grading,Intermediate,5,10,6972.1,Sunny,Loose,39.5,11.87,28,2165.2,25.13,44.54,Fastened,31.15,0,35.0,44.54,5.6,False,False,
S000111,2026-06-26T06:10:31,EXC006,OP1022,Earth Excavation,Beginner,1,2,1571.3,Sunny,Firm,36.1,19.98,222,1386.1,49.05,70.33,Fastened,21.7,0,60.0,70.33,11.0,False,False,
S000112,2026-06-26T06:15:04,MG002,OP1048,Grading,Beginner,2,5,3986.9,Sunny,Rocky,31.7,12.24,36,887.1,26.81,53.6,Unfastened,31.93,0,35.0,53.6,44.4,False,False,
S000113,2026-06-26T06:30:56,DZ002,OP1027,Grading,Intermediate,4,6,5181.2,Sunny,Loose,32.1,11.74,26,2912.1,16.56,43.41,Fastened,28.13,0,35.0,43.41,11.1,False,False,
S000114,2026-06-26T06:44:55,EXC011,OP1030,Earth Excavation,Intermediate,5,6,5075.0,Rainy,Wet,27.2,26.84,270,1249.4,39.87,85.7,Fastened,15.05,0,60.0,85.7,16.8,False,False,
S000115,2026-06-26T06:47:00,DZ002,OP1040,Earth Excavation,Intermediate,2,6,5181.2,Cloudy,Loose,29.7,26.17,255,2048.1,25.56,87.86,Fastened,23.17,0,60.0,87.86,10.1,False,False,
S000116,2026-06-26T06:52:46,DZ001,OP1013,Grading,Expert,8,10,6972.1,Foggy,Loose,22.7,10.75,32,2935.0,16.12,44.72,Fastened,41.76,0,35.0,44.72,15.6,False,False,
S000117,2026-06-26T07:02:52,EXC005,OP1038,Earth Excavation,Intermediate,6,7,6266.6,Cloudy,Rocky,32.9,24.37,229,1673.9,33.96,71.58,Fastened,34.5,0,60.0,71.58,7.7,False,False,
S000118,2026-06-26T07:05:48,EXC003,OP1005,Earth Excavation,Expert,12,6,4636.1,Sunny,Firm,40.5,19.36,181,1667.8,30.67,64.28,Fastened,37.78,0,60.0,64.28,8.4,False,False,
S000119,2026-06-26T07:07:24,WL004,OP1019,Material Loading,Intermediate,5,2,1563.6,Rainy,Loose,27.9,14.59,72,3449.9,37.34,46.18,Fastened,20.18,0,30.0,46.18,24.2,False,False,
S000120,2026-06-26T07:09:28,WL003,OP1048,Material Loading,Beginner,2,5,4055.7,Cloudy,Firm,26.6,10.01,70,3486.5,21.59,39.16,Fastened,16.8,0,30.0,39.16,12.3,False,False,
S000121,2026-06-26T07:11:10,EXC009,OP1036,Earth Excavation,Beginner,0,3,2243.1,Rainy,Wet,28.0,32.58,296,1421.4,81.93,102.07,Fastened,10.61,0,60.0,102.07,25.4,False,False,
S000122,2026-06-26T07:22:26,EXC010,OP1024,Earth Excavation,Intermediate,2,5,3604.5,Sunny,Firm,35.7,22.04,219,1511.5,41.08,72.73,Fastened,16.45,0,60.0,72.73,14.8,False,False,
S000123,2026-06-26T07:26:17,DZ001,OP1036,Grading,Beginner,0,10,6972.1,Sunny,Firm,37.7,13.52,28,2222.6,24.12,50.39,Fastened,22.96,0,35.0,50.39,9.3,False,False,
S000124,2026-06-26T07:27:34,EXC006,OP1020,Demolition,Intermediate,5,2,1571.3,Sunny,Rocky,37.1,33.41,195,1776.9,33.41,98.32,Fastened,8.47,0,90.0,98.32,9.9,False,False,
S000125,2026-06-26T07:28:28,EXC006,OP1019,Earth Excavation,Intermediate,5,2,1571.3,Rainy,Wet,26.0,28.58,291,1630.7,56.48,91.74,Fastened,3.83,1,60.0,91.74,74.8,True,False,
S000126,2026-06-26T07:29:07,DZ001,OP1047,Earth Excavation,Intermediate,4,10,6972.1,Cloudy,Loose,30.9,23.38,240,2259.6,25.78,78.4,Fastened,19.87,0,60.0,78.4,6.4,False,False,
S000127,2026-06-26T07:34:09,DZ001,OP1002,Earth Excavation,Beginner,0,10,6972.1,Rainy,Wet,24.6,36.24,335,2311.9,63.81,107.88,Fastened,31.92,0,60.0,107.88,23.2,False,False,
